stationid,surveyyear,sampledate,stationdepth,labname,labsampleid
B08-7506,2008,2008/09/10 07:00:00+00,95,NULL,NULL
B08-6320,2008,2008/08/04 07:00:00+00,3,NULL,NULL
B08-7002,2008,2008/07/03 07:00:00+00,35,NULL,NULL
B08-7056,2008,2008/07/18 07:00:00+00,294,NULL,NULL
B08-7145,2008,2008/08/13 07:00:00+00,44,NULL,NULL
B08-7590,2008,2008/07/28 07:00:00+00,264,NULL,NULL
B08-6069,2008,2008/07/10 07:00:00+00,1,NULL,NULL
B08-7186,2008,2008/07/30 07:00:00+00,331,NULL,NULL
B08-7412,2008,2008/07/14 07:00:00+00,838,NULL,NULL
B08-7417,2008,2008/07/08 07:00:00+00,60,NULL,NULL
B08-7518,2008,2008/09/09 07:00:00+00,84,NULL,NULL
B08-6045,2008,2008/08/22 07:00:00+00,11,NULL,NULL
B08-6125,2008,2008/08/18 07:00:00+00,7,NULL,NULL
B08-7206,2008,2008/07/15 07:00:00+00,598,NULL,NULL
B08-7251,2008,2008/07/16 07:00:00+00,696,NULL,NULL
B08-6172,2008,2008/08/07 07:00:00+00,5,NULL,NULL
B08-6384,2008,2008/07/23 07:00:00+00,5,NULL,NULL
B08-6527,2008,2008/09/29 07:00:00+00,4,NULL,NULL
B08-6041,2008,2008/08/22 07:00:00+00,10,NULL,NULL
B08-6236,2008,2008/07/17 07:00:00+00,1,NULL,NULL
B08-6083,2008,2008/08/21 07:00:00+00,4,NULL,NULL
B08-6057,2008,2008/07/10 07:00:00+00,1,NULL,NULL
B08-6404,2008,2008/07/24 07:00:00+00,17,NULL,NULL
B08-6520,2008,2008/09/11 07:00:00+00,2,NULL,NULL
B08-6387,2008,2008/07/22 07:00:00+00,23,NULL,NULL
B08-6405,2008,2008/07/17 07:00:00+00,13,NULL,NULL
B08-6148,2008,2008/08/06 07:00:00+00,4,NULL,NULL
B08-6314,2008,2008/08/29 07:00:00+00,1,NULL,NULL
B08-6487,2008,2008/07/30 07:00:00+00,17,NULL,NULL
B08-6553,2008,2008/09/03 07:00:00+00,3,NULL,NULL
B08-6116,2008,2008/08/18 07:00:00+00,10,NULL,NULL
B08-6173,2008,2008/08/07 07:00:00+00,4,NULL,NULL
B08-6411,2008,2008/09/11 07:00:00+00,17,NULL,NULL
B08-7081,2008,2008/07/09 07:00:00+00,203,NULL,NULL
B08-7212,2008,2008/07/16 07:00:00+00,880,NULL,NULL
B08-7624,2008,2008/07/24 07:00:00+00,128,NULL,NULL
B08-6200,2008,2008/07/11 07:00:00+00,1,NULL,NULL
B08-6251,2008,2008/07/29 07:00:00+00,1,NULL,NULL
B08-6031,2008,2008/08/22 07:00:00+00,1,NULL,NULL
B08-6119,2008,2008/08/18 07:00:00+00,10,NULL,NULL
B08-6280,2008,2008/07/08 07:00:00+00,2,NULL,NULL
B08-6328,2008,2008/08/04 07:00:00+00,3,NULL,NULL
B08-7126,2008,2008/07/14 07:00:00+00,790,NULL,NULL
B08-7457,2008,2008/07/14 07:00:00+00,722,NULL,NULL
B08-7686,2008,2008/07/27 07:00:00+00,442,NULL,NULL
B08-6060,2008,2008/07/10 07:00:00+00,1,NULL,NULL
B08-7678,2008,2008/07/25 07:00:00+00,203,NULL,NULL
B08-7727,2008,2008/07/26 07:00:00+00,186,NULL,NULL
B08-6460,2008,2008/07/29 07:00:00+00,16,NULL,NULL
B08-7070,2008,2008/07/17 07:00:00+00,601,NULL,NULL
B08-7068,2008,2008/07/09 07:00:00+00,75,NULL,NULL
B08-7551,2008,2008/09/09 07:00:00+00,88,NULL,NULL
B08-7566,2008,2008/09/10 07:00:00+00,143,NULL,NULL
B08-7625,2008,2008/07/24 07:00:00+00,228,NULL,NULL
B08-7458,2008,2008/07/09 07:00:00+00,74,NULL,NULL
B08-7395,2008,2008/07/24 07:00:00+00,130,NULL,NULL
