stationid,surveyyear,sampledate,stationdepth,labname,labsampleid
B08-6042,2008,2008/08/21 07:00:00+00,12,NULL,NULL
B08-6093,2008,2008/08/19 07:00:00+00,4,NULL,NULL
B08-7207,2008,2008/07/30 07:00:00+00,558,NULL,NULL
B08-6171,2008,2008/08/06 07:00:00+00,4,NULL,NULL
B08-7479,2008,2008/07/02 07:00:00+00,379,NULL,NULL
B08-7542,2008,2008/08/13 07:00:00+00,174,NULL,NULL
B08-7122,2008,2008/09/02 07:00:00+00,73,NULL,NULL
B08-6489,2008,2008/07/30 07:00:00+00,4,NULL,NULL
B08-6660,2008,2008/08/21 07:00:00+00,13,NULL,NULL
B08-7158,2008,2008/09/02 07:00:00+00,192,NULL,NULL
B08-6406,2008,2008/07/14 07:00:00+00,5,NULL,NULL
B08-6407,2008,2008/09/11 07:00:00+00,15,NULL,NULL
B08-7091,2008,2008/07/10 07:00:00+00,11,NULL,NULL
B08-7537,2008,2008/08/12 07:00:00+00,148,NULL,NULL
B08-7700,2008,2008/07/27 07:00:00+00,396,NULL,NULL
B08-7000,2008,2008/08/08 07:00:00+00,16,NULL,NULL
B08-6570,2008,2008/08/19 07:00:00+00,11,NULL,NULL
B08-6479,2008,2008/07/23 07:00:00+00,4,NULL,NULL
B08-7696,2008,2008/07/25 07:00:00+00,140,NULL,NULL
B08-7750,2008,2008/07/26 07:00:00+00,181,NULL,NULL
B08-7312,2008,2008/07/23 07:00:00+00,26,NULL,NULL
B08-7439,2008,2008/09/11 07:00:00+00,80,NULL,NULL
B08-6472,2008,2008/07/23 07:00:00+00,5,NULL,NULL
B08-6244,2008,2008/07/15 07:00:00+00,1,NULL,NULL
B08-7045,2008,2008/07/18 07:00:00+00,261,NULL,NULL
B08-6543,2008,2008/08/21 07:00:00+00,1,NULL,NULL
B08-7735,2008,2008/07/26 07:00:00+00,28,NULL,NULL
B08-7728,2008,2008/07/25 07:00:00+00,26,NULL,NULL
B08-6467,2008,2008/07/29 07:00:00+00,15,NULL,NULL
B08-7044,2008,2008/07/03 07:00:00+00,10,NULL,NULL
B08-6372,2008,2008/08/08 07:00:00+00,1,NULL,NULL
B08-6068,2008,2008/08/21 07:00:00+00,10,NULL,NULL
B08-6416,2008,2008/07/24 07:00:00+00,12,NULL,NULL
B08-6382,2008,2008/09/26 07:00:00+00,1,NULL,NULL
B08-7607,2008,2008/07/24 07:00:00+00,63,NULL,NULL
B08-7111,2008,2008/07/15 07:00:00+00,519,NULL,NULL
